city	state	permalink	created_at	lat	long
Tulsa	OK	phzva-synibe-bs-vaqvn	2014-07-30 17:42:55	36.060789	-95.883908
Alexandria	VA	punv-rkcerff	2014-07-30 18:12:18	38.815619	-77.131212
San Leandro	CA	pyrbcuhf-dhrnyl-orre-pbzcnal	2014-07-30 18:58:45	37.721948	-122.191053
Philadelphia	PA	puunln-pnsr	2014-07-30 20:27:20	39.927238	-75.166338
Eugene	OR	oryyl-gndhrevn	2014-07-30 22:12:57	44.054784	-123.092954
Dripping Springs	TX	gur-zrepnagvyr-j-zrepre	2014-07-30 23:05:03	30.192576	-98.089129
Evanston	IL	527-pnsr	2014-07-31 14:04:47	42.046213	-87.679208
ASHEVILLE	NC	fbirervta-erzrqvrf	2014-07-31 15:30:13	35.59666	-82.551371
New York	NY	pbssrr-oernx	2014-07-31 15:37:13	40.751985	-73.96978
Fort Worth	TX	orneqrq-rry-pensg-oerjrel	2014-07-31 19:00:01	32.860151	-97.364138
New Orleans	Louisiana	pnfn-obeertn	2014-07-31 19:07:11	29.939496	-90.080768
Blackwood	NJ	fnxhen-fhfuv-wncnarfr-fgrnx-ubhfr	2014-07-31 19:37:40	39.755479	-75.046669
Glen Ellyn 	Il	n-gbqn-znqer	2014-07-31 20:02:39	41.87752	-88.066718
Chicago	IL	enzra-gnxrln	2014-07-31 21:28:29	41.88664	-87.648367
Oakland	CA	orna-fcebhgf-bnxynaq	2014-08-01 00:46:19	37.818677	-122.180485
Los Angeles	CA	orna-fcebhgf-yn	2014-08-01 01:03:32	34.27296	-118.393221
Santa Ana	CA	orna-fcebhgf-benatr-pbhagl	2014-08-01 01:12:45	33.770889	-117.868493
Sausalito	CA	orna-fcebhgf-fnhfnyvgb	2014-08-01 01:22:27	37.835591	-122.476401
Berkeley	CA	ryzjbbq-pnsr	2014-08-01 01:33:45	37.858348	-122.253308
Montclair	CA	qbypr-pnsr-naq-onxrel	2014-08-01 01:50:15	34.093329	-117.68842
San Francisco	CA	fbyhan	2014-08-01 20:40:12	37.780788	-122.416493
Torrance	CA	pncvpbyn-f	2014-08-01 21:50:11	33.797878	-118.341046
San Francisco	CA	fbhf-orheer-xvgpura	2014-08-01 21:57:59	37.753106	-122.406734
Statesboro	GA	fbhgu-pvgl-gnirea	2014-08-01 23:24:10	32.414187	-81.784079
Philadelphia	PA	nor-svfure	2014-08-04 14:17:04	39.950748	-75.168151
Los Angeles	CA	zrybql-cvmmn	2014-08-04 18:23:13	33.953411	-118.395837
Austin	TX	phirr-pbssrr-one-nhfgva	2014-08-04 18:23:25	30.261483	-97.720973
Pensacola	Fl	xbua-f-ba-cnynsbk	2014-08-04 19:48:58	30.411737	-87.214904
Healdsburg	CA	urnyqfohet-one-tevyy	2014-08-05 00:00:12	38.610003	-122.870693
Gilbert	AZ	fvqrjvaqre-fhof	2014-08-05 00:33:28	33.349768	-111.82104
Palm Springs	CA	rearfg-pbssrr-pb-bar	2014-08-05 19:19:43	33.83751	-116.547015
Palm Springs	CA 	rearfg-pbssrr-pb-gjb	2014-08-05 19:36:17	33.837513	-116.54739
Houston	Tx	fmrpujna-jbx	2014-08-05 20:34:47	29.775491	-95.186986
New York	NY	qbhtu-oblf-cvmmn	2014-08-06 23:45:04	40.743791	-73.979114
Athens	Georgia	znzn-f-obl-2	2014-08-07 18:29:19	33.959368	-83.36849
Woodstock	NY	jbbqfgbpx-pbzzhar-fnybba	2014-08-07 19:45:58	42.040544	-74.153722
Oneonta	NY	o-fvqr-onyyebbz	2014-08-08 20:40:57	42.452308	-75.063292
Seattle	WA	oranebln-unyy	2014-08-11 18:18:19	47.60812	-122.337159
San Francisco	CA	ubhfr-tbng	2014-08-11 19:51:37	37.790841	-122.40128
San Francisco	CA	ehzbef	2014-08-12 00:51:30	37.775469	-122.406658
Avondale Estates	Georgia	cnyybbxnivyyr-svar-sbbqf	2014-08-12 20:03:48	33.776523	-84.267113
New York	NY	gur-ybqtr-pnfrl	2014-08-13 04:18:11	40.733129	-73.998044
Minneapolis	MN	zrepunag	2014-08-13 18:38:24	44.9854	-93.269481
Branford	CT	r-zpurael-f-vevfu-cho	2014-08-13 21:12:24	41.260775	-72.801156
Long Beach	CA	serfu-xnobof	2014-08-13 22:20:48	33.771529	-118.190122
Providence	RI	oenff-zbaxrl-eubqr-vfynaq	2014-08-14 13:46:10	41.79313	-71.397099
Tallahassee	FL	zbqn	2014-08-14 18:35:30	30.436364	-84.296884
New York	NY	fbhy-bs-gur-fcnpr	2014-08-14 23:13:36	40.719267	-73.985156
Golden	CO	oneeryf-obggyrf	2014-08-15 22:00:57	39.756526	-105.219955
Bend	Oregon	iryirg-ybhatr	2014-08-15 23:44:17	44.058301	-121.315182
Greenfield 	Ohio	pngpu-22-fcbegf-cho	2014-08-18 14:21:59	39.351716	-83.382405
Sidney	MT	zrnqbjynex-choyvp-ubhfr	2014-08-18 18:14:20	47.714745	-104.157523
Torrance	CA	zbaxvfu-oerjvat	2014-08-18 22:55:24	33.846708	-118.309397
San Mateo	Ca	znaqnyn-ybhatr	2014-08-19 21:04:23	37.544889	-122.304729
Fall City	WA	snyy-pvgl-ovfgeb	2014-08-19 21:51:05	47.570816	-121.887347
Yarmouth	ME	ovfgeb-233	2014-08-20 15:21:20	43.800621	-70.186723
Golden	CO	zbhagnva-gbnq-oerjvat	2014-08-20 19:43:54	39.758098	-105.224252
Waltham	MA	erq-oyeq	2014-08-20 20:16:28	42.370018	-71.237356
Portland	OR	aveinan-pnsr	2014-08-20 20:24:06	45.517042	-122.660418
Chicago	IL	znpuh-cvppuh	2014-08-20 20:36:35	41.952352	-87.669189
Cornelius	NC	gur-jvar-pryyne	2014-08-20 20:52:03	35.481706	-80.882542
leavenworth	Wa	qre-uvagreubs-orre-tneqra	2014-08-21 00:55:18	47.594456	-120.660054
Canton	MA	nzore-ebnq-pnsr	2014-08-21 02:00:11	42.154026	-71.14569
Bend	Oregon	wbbym	2014-08-21 20:46:30	44.05887	-121.31356
Berkeley	CA	trpxb-trpxb	2014-08-21 23:01:45	37.870743	-122.270421
Quincy	MA	znttl-f-ybhatr	2014-08-22 15:08:34	42.246321	-70.976653
Brooklyn	NY	rfzr	2014-08-22 18:27:20	40.733196	-73.954973
New York	NY	gur-cynpr	2014-08-22 19:20:44	40.737262	-74.003965
Knoxville	TN	fzbxrq-unjtf	2014-08-22 19:26:44	35.935917	-84.003411
Fort Lauderdale	FL	znevan-84-fcbegf-one-tevyy	2014-08-25 19:54:56	26.085916	-80.173402
Scottsdale	Az	onq-jngre-oerjvat	2014-08-25 22:43:45	33.497244	-111.924642
Los Angeles	CA	zrna-terraf	2014-08-26 18:00:45	34.084101	-118.361167
Greenfield	Ohio	guerr-fcbbaf-qvare	2014-08-26 19:16:46	39.351453	-83.381961
Chicago	il	puvpntb-tevaq	2014-08-26 20:04:50	41.977961	-87.660213
Leesburg	Virginia	orre-wbvag-oerjrel-yrrfohet	2014-08-26 21:29:49	39.112629	-77.554014
Omaha	NE	fpevcgbja-oerjvat-pbzcnal	2014-08-26 22:13:26	41.257968	-95.97287
Los Angeles	CA	p2betnavpf	2014-08-26 22:34:22	34.101018	-118.32931
San Francisco	CA	ynml-orne	2014-08-26 22:51:08	37.760485	-122.419762
Battle Creek	MI	ubtmvyyn-ood-cvg	2014-08-27 17:40:38	42.297606	-85.216062
Sioux Falls	Sd	z-o-unfxrgg-qryvpngrffra	2014-08-27 18:23:40	43.543738	-96.726562
Long Beach 	CA	wbivab-f-cvmmn	2014-08-28 19:49:24	33.860084	-118.180952
Detroit	MI	hsb-snpgbel	2014-08-28 20:06:53	42.332189	-83.06683
Chicago	IL	yhyn-pnsr	2014-08-28 20:44:26	41.926944	-87.707261
San Jose	CA	grfg-erfgnhenag	2014-08-28 21:24:53	37.371051	-121.923649
Chicago	IN	vaql-pnsr	2014-08-29 16:30:26	41.611897	-87.481099
Prairieville	LA	gur-vgnyvna-objy	2014-08-29 19:21:46	30.327708	-90.980927
Middleburg Heights	OH	fgbaroebbx-pyho-ubhfr	2014-08-29 20:38:12	41.35819	-81.81513
Richmond	VA	blfgre-f-crney	2014-08-29 20:52:55	37.569041	-77.474449
Green Bay	WI	uvagreynaq-oerjrel-terra-onl	2014-08-29 21:05:02	44.518933	-88.019631
New York	NY	xvat-orr	2014-08-29 21:13:45	40.727519	-73.983842
Gilbert	AZ	yvfn-f-ehz-pnxr	2014-08-29 21:40:51	33.346044	-111.830543
Milwaukee	WI	cyrnfnag-xnsr	2014-08-29 22:28:30	43.050723	-87.904536
Anaheim	CA	sn-fnv-gunv-phvfvar	2014-08-30 00:08:48	33.832715	-117.9242
Astoria	New York	fhtne-sernx	2014-09-02 16:03:19	40.764514	-73.916912
Oak Bluffs	MA	pbbc-qrivyyr	2014-09-02 17:18:12	41.456783	-70.557816
Norwalk	CT	wnk-pb	2014-09-02 17:42:12	41.100508	-73.419541
Los Angeles	CA	fgngvba-one-tevyy	2014-09-02 18:09:47	34.073121	-118.375979
Ridgewood	NY	ohaxre-ivrganzrfr	2014-09-02 19:43:10	40.713985	-73.921321
